fight_fighter,opponent,fight_result,kd,str,td,sub,event,event_date,method,round,time
Julius Anglickas,Karl Reed,win,0 0,62 25,4 2,1 0,DWCS 3.8,"Aug. 13, 2019",SUB Rear Naked Choke,3,3:25
Collin Anglin,Sean Woodson,loss,0 1,8 50,0 0,0 0,UFC Fight Night: Holloway vs. Rodriguez,"Nov. 13, 2021",KO/TKO Punches,1,4:30
Collin Anglin,Melsik Baghdasaryan,loss,0 1,25 44,1 0,0 0,UFC Fight Night: Hall vs. Strickland,"Jul. 31, 2021",KO/TKO Kick,2,1:50
Collin Anglin,Muhammad Naimov,win,0 0,88 52,3 0,0 0,DWCS 4.7,"Sep. 15, 2020",U-DEC,3,5:00
Chad Anheliger,Cody Gibson,loss,0 0,11 16,0 5,0 2,UFC Fight Night: Moreno vs. Albazi,"Nov. 02, 2024",U-DEC,3,5:00
Chad Anheliger,Charalampos Grigoriou,win,0 0,85 21,0 4,0 0,UFC Fight Night: Tuivasa vs. Tybura,"Mar. 16, 2024",U-DEC,3,5:00
Chad Anheliger,Jose Johnson,loss,0 0,26 63,4 1,0 1,UFC Fight Night: Allen vs. Craig,"Nov. 18, 2023",SUB Rear Naked Choke,3,4:49
Chad Anheliger,Alatengheili,loss,0 0,39 49,0 2,0 0,UFC 279: Diaz vs. Ferguson,"Sep. 10, 2022",U-DEC,3,5:00
Chad Anheliger,Jesse Strader,win,2 0,67 64,0 4,2 0,UFC Fight Night: Walker vs. Hill,"Feb. 19, 2022",KO/TKO Punch,3,3:33
Chad Anheliger,Muin Gafurov,win,1 0,47 31,0 5,1 0,DWCS 5.2,"Sep. 07, 2021",S-DEC,3,5:00
Yoji Anjo,Ryan Gracie,loss,0 0,0 19,0 2,0 1,PRIDE Shockwave 2004,"Dec. 31, 2004",SUB Armbar,1,8:33
Yoji Anjo,Matt Lindland,loss,0 0,0 17,0 0,0 0,UFC 29: Defense of the Belts,"Dec. 16, 2000",KO/TKO Punches,1,2:58
Yoji Anjo,Murilo Bustamante,loss,0 0,0 11,0 4,0 1,UFC 25: Ultimate Japan 3,"Apr. 14, 2000",SUB Arm Triangle,2,0:31
Yoji Anjo,David Abbott,loss,0 0,9 13,0 3,1 0,UFC - Ultimate Japan,"Dec. 21, 1997",U-DEC,2,3:00
Magomed Ankalaev,Alex Pereira,loss,0 0,4 28,0 0,0 0,UFC 320: Ankalaev vs. Pereira 2,,KO/TKO Elbows,1,1:20
Magomed Ankalaev,Alex Pereira,win,0 0,94 76,0 0,0 0,UFC 313: Pereira vs. Ankalaev,,U-DEC,5,5:00
Magomed Ankalaev,Aleksandar Rakic,win,0 0,55 53,0 0,0 0,UFC 308: Topuria vs. Holloway,"Oct. 26, 2024",U-DEC,3,5:00
Magomed Ankalaev,Johnny Walker,win,1 0,39 24,0 0,0 0,UFC Fight Night: Ankalaev vs. Walker 2,"Jan. 13, 2024",KO/TKO Punch,2,2:42
Magomed Ankalaev,Johnny Walker,nc,0 0,13 14,1 0,0 0,UFC 294: Makhachev vs. Volkanovski 2,"October. 21, 2023",CNC,1,3:13
Magomed Ankalaev,Jan Blachowicz,draw,0 0,78 55,2 0,0 0,UFC 282: Blachowicz vs. Ankalaev,,S-DEC,5,5:00
Magomed Ankalaev,Anthony Smith,win,0 0,46 18,0 0,0 0,UFC 277: Pena vs. Nunes 2,"Jul. 30, 2022",KO/TKO Punches,2,3:09
Magomed Ankalaev,Thiago Santos,win,0 1,78 60,1 0,0 0,UFC Fight Night: Santos vs. Ankalaev,"Mar. 12, 2022",U-DEC,5,5:00
Magomed Ankalaev,Volkan Oezdemir,win,1 0,66 48,1 0,0 0,UFC 267: Blachowicz vs. Teixeira,"Oct. 30, 2021",U-DEC,3,5:00
